username,repo_name,stars,repo_url
arendst,Tasmota,19500,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,14700,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13500,https://github.com/arduino/Arduino
rwaldron,johnny-five,13000,https://github.com/rwaldron/johnny-five
tinygo-org,tinygo,12600,https://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,11500,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,10500,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,8300,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8200,https://github.com/hybridgroup/gobot
platformio,platformio-core,6700,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6100,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5800,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3900,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3800,https://github.com/arduino/arduino-cli
olikraus,u8g2,3800,https://github.com/olikraus/u8g2
blynkkk,blynk-library,3600,https://github.com/blynkkk/blynk-library
ClemensElflein,OpenMower,3400,https://github.com/ClemensElflein/OpenMower
NerdLang,nerd,3400,https://github.com/NerdLang/nerd
Serial-Studio,Serial-Studio,3200,https://github.com/Serial-Studio/Serial-Studio
